dd;temp;chuva;ur;doy;s_dif;yr;leap;acc_dif;dif_adj_lag10;dif_adj_lag3;acc_dif_adj_lag10;acc_dif_adj_lag3;diaFavInf;hcp
2011-05-20;15.5333333333333;0;73.5125;140;0;2011;FALSE;0;0;0;0;0;0;0
2011-05-21;17.575;0;71.225;141;0;2011;FALSE;0;0;0;0;0;0;0
2011-05-22;18.5541666666667;0;73.1;142;0;2011;FALSE;0;0;0;0;0;0;0
2011-05-23;18.9791666666667;0;69.5041666666667;143;0;2011;FALSE;0;0;0;0;0;0;0
2011-05-24;19.8291666666667;0;65.6416666666667;144;0;2011;FALSE;0;0;0;0;0;0;0
2011-05-25;19.3375;0;70.3916666666667;145;0;2011;FALSE;0;0;0;0;0;0;0
2011-05-26;20.1541666666667;0;62.2708333333333;146;0;2011;FALSE;0;0;0;0;0;0;0
2011-05-27;19.5291666666667;0;75.8791666666667;147;0.0966183574879227;2011;FALSE;0.0966183574879227;0.0138026224982747;0.0322061191626409;0.0138026224982747;0.0322061191626409;0;0.097
2011-05-28;17.2208333333333;0;73.0958333333333;148;0;2011;FALSE;0.0966183574879227;0.00177462289263532;0.00805152979066022;0.01557724539091;0.0402576489533011;0;0
2011-05-29;14.1166666666667;0;70.0083333333333;149;0;2011;FALSE;0.0966183574879227;0.00180560837171307;0.00738056897477187;0.0173828537626231;0.047638217928073;0;0
2011-05-30;13.6041666666667;0;70.0291666666667;150;0;2011;FALSE;0.0966183574879227;0.00181522594249176;0.00318706387546967;0.0191980797051148;0.0508252818035427;0;0
2011-05-31;14.3083333333333;0;70.6958333333333;151;0;2011;FALSE;0.0966183574879227;0.00180028565277465;0.00202686079799606;0.0209983653578895;0.0528521426015387;0;0
2011-06-01;16.3416666666667;0;64.3083333333333;152;0;2011;FALSE;0.0966183574879227;0.0017574926694869;0.00103789251207729;0.0227558580273764;0.053890035113616;0;0
2011-06-02;16.6875;0;63.3375;153;0;2011;FALSE;0.0966183574879227;0.00168347936473679;0.000597283261018668;0.0244393373921132;0.0544873183746347;0;0
2011-06-03;17.25;0;64.5166666666667;154;0;2011;FALSE;0.0966183574879227;0.000983302061314371;0.000322302900600883;0.0254226394534275;0.0548096212752356;0;0
2011-06-04;17.7708333333333;0;61.5916666666667;155;0;2011;FALSE;0.0966183574879227;0.000881718275315584;0.000180122935319999;0.0263043577287431;0.0549897442105556;0;0
2011-06-05;14.0083333333333;0;69.1875;156;0;2011;FALSE;0.0966183574879227;0.000777050351032492;9.87478839301468e-05;0.0270814080797756;0.0550884920944857;0;0
2011-06-06;14.6791666666667;0;68.6875;157;0;2011;FALSE;0.0966183574879227;0.00067171137054245;5.47074602025365e-05;0.027753119450318;0.0551431995546883;0;0
2011-06-07;15.7666666666667;15.4;82.8083333333333;158;0.492753917180637;2011;FALSE;0.58937227466856;0.0709617169249463;0.164281440572585;0.0987148363752643;0.219424640127273;0;0.493
