dd;temp;chuva;ur;doy;s_dif;yr;leap;acc_dif;dif_adj_lag10;dif_adj_lag3;acc_dif_adj_lag10;acc_dif_adj_lag3;diaFavInf;hcp
2004-05-19;16.3708333333333;1;83.5666666666667;140;0.390737387322534;2004;TRUE;0.390737387322534;0.390737387322534;0.390737387322534;0.390737387322534;0.390737387322534;1;2.377
2004-05-20;17.6166666666667;0.6;84.9708333333333;141;0;2004;TRUE;0.390737387322534;0.0502376640843258;0.0976843468306336;0.44097505140686;0.488421734153168;0;1.601
2004-05-21;15.525;14.4;90.0125;142;0.188902270395647;2004;TRUE;0.579639657718181;0.0781008682756525;0.152511408059963;0.519075919682513;0.640933142213131;0;0
2004-05-22;14.7708333333333;8;96.075;143;0.473941123906036;2004;TRUE;1.05358078162422;0.122562601106765;0.212388951122108;0.641638520789278;0.853322093335239;1;0
2004-05-23;16.8458333333333;17;94.225;144;1.18525894022257;2004;TRUE;2.23883972184679;0.232522110441676;0.473602119198045;0.874160631230954;1.32692421253328;1;0
2004-05-24;17.375;49.6;97.2833333333333;145;2.09512267821555;2004;TRUE;4.33396240006234;0.383232079771899;0.852172914391714;1.25739271100285;2.179097126925;1;0.287
2004-05-25;14.9583333333333;25;98.8541666666667;146;1.30938303874383;2004;TRUE;5.64334543880617;0.307768246800455;0.728437928045545;1.56516095780331;2.90753505497054;1;0.509
2004-05-26;11.8166666666667;0.2;85.2833333333333;147;0;2004;TRUE;5.64334543880617;0.125575089097531;0.324138301076672;1.69073604690084;3.23167335604722;1;0.891
2004-05-27;11.7;0;81.5125;148;0;2004;TRUE;5.64334543880617;0.122789935371017;0.202440896610092;1.81352598227186;3.43411425265731;1;1.09
2004-05-28;13.7208333333333;0;75.3333333333333;149;0;2004;TRUE;5.64334543880617;0.117376304199849;0.104633274331968;1.9309022864717;3.53874752698928;0;1.152
2004-05-29;15.7333333333333;0.2;68.1458333333333;150;0;2004;TRUE;5.64334543880617;0.108722716655406;0.0598984680180075;2.03962500312711;3.59864599500728;0;0.389
2004-05-30;18.9541666666667;0;78.8708333333333;151;0;2004;TRUE;5.64334543880617;0.0943180645538517;0.0324134960598299;2.13394306768096;3.63105949106711;0;0
2004-05-31;15.5083333333333;25;95.5291666666667;152;0.672723615263214;2004;TRUE;6.31606905406939;0.169474323445351;0.242327657105697;2.30341739112631;3.87338714817281;1;0
2004-06-01;15.4666666666667;0;95.9958333333333;153;0.772346676459514;2004;TRUE;7.0884157305289;0.179783529529518;0.323433055772901;2.48320092065583;4.19682020394571;1;0
2004-06-02;15.9791666666667;2.4;92.5916666666667;154;0.484114554743927;2004;TRUE;7.57253028527283;0.145794227358006;0.28261772504215;2.62899514801384;4.47943792898786;1;0
2004-06-03;15.2;0.2;93.6291666666667;155;0.576537408352444;2004;TRUE;8.14906769362527;0.161159111678566;0.316739076673502;2.7901542596924;4.79617700566136;1;0.094
2004-06-04;13.5708333333333;0.2;83.7833333333333;156;0;2004;TRUE;8.14906769362527;0.0828371094391538;0.126287723342067;2.87299136913156;4.92246472900343;0;1.171
2004-06-05;15.2833333333333;0;76.0958333333333;157;0;2004;TRUE;8.14906769362527;0.076553021750089;0.0843617769477673;2.94954439088165;5.0068265059512;0;1.525
2004-06-06;16.4916666666667;0;72.7208333333333;158;0;2004;TRUE;8.14906769362527;0.0704481165513004;0.0421383981272864;3.01999250743295;5.04896490407848;0;2.164
2004-06-07;17.1375;0;65.925;159;0;2004;TRUE;8.14906769362527;0.060591098771657;0.0245948956897828;3.0805836062046;5.07355979976827;0;0.192
2004-06-08;16.8916666666667;0;62.9;160;0;2004;TRUE;8.14906769362527;0.0504395871152246;0.0131717902769934;3.13102319331983;5.08673159004526;0;0
2004-06-09;17.3208333333333;4;78.05;161;0;2004;TRUE;8.14906769362527;0.0421423144925707;0.00739209685087882;3.1731655078124;5.09412368689614;0;0
2004-06-10;20.1083333333333;0.6;81.5416666666667;162;0;2004;TRUE;8.14906769362527;0.0334819637795913;0.00404332259221861;3.20664747159199;5.09816700948836;0;0.488
2004-06-11;18.2125;34.6;95.6041666666667;163;1.64282542505952;2004;TRUE;9.79189311868479;0.26345438303922;0.549851321809706;3.47010185463121;5.64801833129806;1;0.296
2004-06-12;11.2583333333333;0;78.9375;164;0;2004;TRUE;9.79189311868479;0.0545903834541792;0.13813671755113;3.52469223808539;5.78615504884919;0;0.495
2004-06-13;8.92083333333333;0;70.675;165;0;2004;TRUE;9.79189311868479;0.051153406849667;0.126176066356067;3.57584564493506;5.91233111520526;0;0.286
2004-06-14;11.8041666666667;0;63.4291666666667;166;0;2004;TRUE;9.79189311868479;0.0479235159165182;0.0545668028475383;3.62376916085158;5.9668979180528;0;0.393
2004-06-15;17.3625;0;83.8833333333333;167;0.116279069767442;2004;TRUE;9.90817218845223;0.0614595379286176;0.073430735027043;3.68522869878019;6.04032865307984;0;0.288
2004-06-16;20.5375;0;71.7375;168;0;2004;TRUE;9.90817218845223;0.0439048555382416;0.0274521508980171;3.72913355431843;6.06778080397786;0;0.2
2004-06-17;21.9708333333333;0;61.625;169;0;2004;TRUE;9.90817218845223;0.0407996357887789;0.0191014935623448;3.76993319010721;6.0868822975402;0;0.484
2004-06-18;22.3166666666667;0;56.4083333333333;170;0;2004;TRUE;9.90817218845223;0.0272903142209918;0.00935073187358905;3.79722350432821;6.09623302941379;0;0.572
2004-06-19;19.9708333333333;0;67.2583333333333;171;0;2004;TRUE;9.90817218845223;0.0241761762517116;0.00552126522878806;3.82139968057992;6.10175429464258;0;0.392
2004-06-20;20.0708333333333;0;64.5791666666667;172;0;2004;TRUE;9.90817218845223;0.0211989491013343;0.00293877161946186;3.84259862968125;6.10469306626204;0;2.078
